,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
38,Dzawinai-Chacon-2019-220-119_know-1,,Dzawinai,Chacon-2019-220-119_know,nuanʰeka,nuanʰeka,n u a nʰ e k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a nh~ e k a,a e k n nh~ u
39,Kowaidakenai-Chacon-2019-220-119_know-1,,Kowaidakenai,Chacon-2019-220-119_know,nuanʰe,nuanʰe,n u a nʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a nh~ e,a e n nh~ u
40,Werekena-Chacon-2019-220-119_know-1,,Werekena,Chacon-2019-220-119_know,nutsɛmi,nutsɛmi,n u ts ɛ m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u ts E m i,E i m n ts u
41,Mauliene-Chacon-2019-220-119_know-1,,Mauliene,Chacon-2019-220-119_know,nuwanʰeni,nuwanʰeni,n u w a nʰ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u w a nh~ e n i,a e i n nh~ u w
42,Kumadene2-Chacon-2019-220-119_know-1,,Kumadene2,Chacon-2019-220-119_know,nuwanʰẽoka,nuwanʰẽoka,n u w a nʰ ẽ o k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u w a nh~ e* o k a,a e* k n nh~ o u w
43,Tariana-Chacon-2019-220-119_know-1,,Tariana,Chacon-2019-220-119_know,paekanipɛ,paekanipɛ,p a e k a n i p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p a e k a n i p E,E a e i k n p
44,Hohoodene-Chacon-2019-220-119_know-1,,Hohoodene,Chacon-2019-220-119_know,waːhẽki̥,waːhẽki̥,w aː h ẽ k i̥/i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w a h e* k i i,a e* h i k w
45,Moliwene-Chacon-2019-220-119_know-1,,Moliwene,Chacon-2019-220-119_know,waʰljẽtsa,waʰljẽtsa,w a h l j ẽ ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w a h l y e* ts a,a e* h l ts w y
46,Name-Chacon-2019-220-119_know-1,,Name,Chacon-2019-220-119_know,janʰeːki,janʰeːki,j a nʰ eː k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a nh~ e k i,a e i k nh~ y
47,Oho-Chacon-2019-220-119_know-1,,Oho,Chacon-2019-220-119_know,janʰekheti,janʰekheti,j a nʰ e kʰ e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a nh~ e kh~ e t i,a e i kh~ nh~ t y
48,Aha-Chacon-2019-220-119_know-1,,Aha,Chacon-2019-220-119_know,janʰikada,janʰikada,j a nʰ i k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a nh~ i k a d a,a d i k nh~ y
49,Waliperi-Chacon-2019-220-121_tapuru-1,,Waliperi,Chacon-2019-220-121_tapuru,aːkoɽo,aːkoɽo,aː k o ɽ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a k o r o,a k o r
50,Hohoodene-Chacon-2019-220-121_tapuru-1,,Hohoodene,Chacon-2019-220-121_tapuru,aːkoʐo,aːkoʐo,aː k o ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a k o Z o,Z a k o
51,Moliwene-Chacon-2019-220-121_tapuru-1,,Moliwene,Chacon-2019-220-121_tapuru,akoʐo,akoʐo,a k o ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a k o Z o,Z a k o
52,Mauliene-Chacon-2019-220-121_tapuru-1,,Mauliene,Chacon-2019-220-121_tapuru,akoʐo,akoʐo,a k o ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a k o Z o,Z a k o
53,Tariana-Chacon-2019-220-121_tapuru-1,,Tariana,Chacon-2019-220-121_tapuru,hinĩsi,hinĩsi,h i n ĩ s i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,h i n i* s i,h i i* n s
54,Kumadene2-Chacon-2019-220-121_tapuru-1,,Kumadene2,Chacon-2019-220-121_tapuru,iuʐi,iuʐi,i u ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,i u Z i,Z i u
55,Aha-Chacon-2019-220-97_hammock-1,,Aha,Chacon-2019-220-97_hammock,aːmako,aːmako,aː m a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a m a k o,a k m o
56,Name-Chacon-2019-220-97_hammock-1,,Name,Chacon-2019-220-97_hammock,aːmako,aːmako,aː m a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a m a k o,a k m o
57,Ehe-Chacon-2019-220-97_hammock-1,,Ehe,Chacon-2019-220-97_hammock,makaithepa,makaithepa,m a k a i tʰ e p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,m a k a i th~ e p a,a e i k m p th~
58,Oho-Chacon-2019-220-97_hammock-1,,Oho,Chacon-2019-220-97_hammock,pieta,pieta,p i e t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p i e t a,a e i p t
59,Kumadene2-Chacon-2019-220-149_other-1,,Kumadene2,Chacon-2019-220-149_other,aːpe,aːpe,aː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p e,a e p
60,Ehe-Chacon-2019-220-149_other-1,,Ehe,Chacon-2019-220-149_other,apada,apada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a d a,a d p
61,Name-Chacon-2019-220-149_other-1,,Name,Chacon-2019-220-149_other,apada,apada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a d a,a d p
62,Moliwene-Chacon-2019-220-149_other-1,,Moliwene,Chacon-2019-220-149_other,apadawa,apadawa,a p a d a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a d a w a,a d p w
63,Hohoodene-Chacon-2019-220-149_other-1,,Hohoodene,Chacon-2019-220-149_other,apajta,apajta,a p a j t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a y t a,a p t y
64,Waliperi-Chacon-2019-220-149_other-1,,Waliperi,Chacon-2019-220-149_other,apajta,apajta,a p a j t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a y t a,a p t y
65,Tariana-Chacon-2019-220-149_other-1,,Tariana,Chacon-2019-220-149_other,paːsi,paːsi,p aː s i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p a s i,a i p s
66,Aha-Chacon-2019-220-149_other-1,,Aha,Chacon-2019-220-149_other,pada,pada,p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p a d a,a d p
67,Oho-Chacon-2019-220-149_other-1,,Oho,Chacon-2019-220-149_other,pada,pada,p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p a d a,a d p
68,Werekena-Chacon-2019-220-149_other-1,,Werekena,Chacon-2019-220-149_other,pejahɐ̃,pejahɐ̃,p e j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p e y a h a*,a a* e h p y
69,Mauliene-Chacon-2019-220-149_other-1,,Mauliene,Chacon-2019-220-149_other,phepa,phepa,pʰ e p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,ph~ e p a,a e p ph~
70,Aha-Chacon-2019-220-189_snake-1,,Aha,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
71,Moliwene-Chacon-2019-220-189_snake-1,,Moliwene,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
72,Hohoodene-Chacon-2019-220-189_snake-1,,Hohoodene,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
73,Kumadene2-Chacon-2019-220-189_snake-1,,Kumadene2,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
74,Mauliene-Chacon-2019-220-189_snake-1,,Mauliene,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
75,Name-Chacon-2019-220-189_snake-1,,Name,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
76,Oho-Chacon-2019-220-189_snake-1,,Oho,Chacon-2019-220-189_snake,aːpi,aːpi,aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i,a i p
77,Ehe-Chacon-2019-220-189_snake-1,,Ehe,Chacon-2019-220-189_snake,eːpitsi,eːpitsi,eː p i ts i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,e p i ts i,e i p ts
78,Tariana-Chacon-2019-220-189_snake-1,,Tariana,Chacon-2019-220-189_snake,mawaɾi,mawaɾi,m a w a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,m a w a r i,a i m r w
79,Waliperi-Chacon-2019-220-189_snake-1,,Waliperi,Chacon-2019-220-189_snake,umawaɽi,umawaɽi,u m a w a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,u m a w a r i,a i m r u w
80,Werekena-Chacon-2019-220-189_snake-1,,Werekena,Chacon-2019-220-189_snake,umeni,umeni,u m e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,u m e n i,e i m n u
81,Ehe-Chacon-2019-220-208_think-1,,Ehe,Chacon-2019-220-208_think,aːpinetaːketi,aːpinetaːketi,aː p i n e t aː k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p i n e t a k e t i,a e i k n p t
82,Dzawinai-Chacon-2019-220-208_think-1,,Dzawinai,Chacon-2019-220-208_think,iapjẽta,iapjẽta,i a p j ẽ t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,i a p y e* t a,a e* i p t y
83,Aha-Chacon-2019-220-208_think-1,,Aha,Chacon-2019-220-208_think,iwaopiakada,iwaopiakada,i w a o p i a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,i w a o p i a k a d a,a d i k o p w
84,Moliwene-Chacon-2019-220-208_think-1,,Moliwene,Chacon-2019-220-208_think,liapiːtɐ̃da,liapiːtɐ̃da,l i a p iː t ɐ̃ d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,l i a p i t a* d a,a a* d i l p t
85,Hohoodene-Chacon-2019-220-208_think-1,,Hohoodene,Chacon-2019-220-208_think,nuawaːdaka,nuawaːdaka,n u a w aː d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a w a d a k a,a d k n u w
86,Mauliene-Chacon-2019-220-208_think-1,,Mauliene,Chacon-2019-220-208_think,nuawadakani,nuawadakani,n u a w a d a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a w a d a k a n i,a d i k n u w
87,Tariana-Chacon-2019-220-208_think-1,,Tariana,Chacon-2019-220-208_think,pawadawani,pawadawani,p a w a d a w a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p a w a d a w a n i,a d i n p w
88,Werekena-Chacon-2019-220-208_think-1,,Werekena,Chacon-2019-220-208_think,puɽiuta,puɽiuta,p u ɽ i u t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,p u r i u t a,a i p r t u
89,Kowaidakenai-Chacon-2019-220-208_think-1,,Kowaidakenai,Chacon-2019-220-208_think,ɽinamanikawa,ɽinamanikawa,ɽ i n a m a n i k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i n a m a n i k a w a,a i k m n r w
90,Kumadene2-Chacon-2019-220-208_think-1,,Kumadene2,Chacon-2019-220-208_think,ɽiwaupiaka,ɽiwaupiaka,ɽ i w a u p i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i w a u p i a k a,a i k p r u w
91,Name-Chacon-2019-220-208_think-1,,Name,Chacon-2019-220-208_think,wawaopiaketi,wawaopiaketi,w a w a o p i a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w a w a o p i a k e t i,a e i k o p t w
92,Oho-Chacon-2019-220-208_think-1,,Oho,Chacon-2019-220-208_think,japiñetaketi,japiñetaketi,j a p i ɲ e t a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a p i 5 e t a k e t i,5 a e i k p t y
93,Ehe-Chacon-2019-220-81_fly-1,,Ehe,Chacon-2019-220-81_fly,aːraketi,aːraketi,aː ɾ a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a r a k e t i,a e i k r t
94,Name-Chacon-2019-220-81_fly-1,,Name,Chacon-2019-220-81_fly,liarakao,liarakao,l i a ɾ a k a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,l i a r a k a o,a i k l o r
95,Tariana-Chacon-2019-220-81_fly-1,,Tariana,Chacon-2019-220-81_fly,naɾahinãka,naɾahinãka,n a ɾ a h i n ã k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a r a h i n a* k a,a a* h i k n r
96,Mauliene-Chacon-2019-220-81_fly-1,,Mauliene,Chacon-2019-220-81_fly,nuaʐakawa,nuaʐakawa,n u a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a Z a k a w a,Z a k n u w
97,Dzawinai-Chacon-2019-220-81_fly-1,,Dzawinai,Chacon-2019-220-81_fly,nuaʐakawa,nuaʐakawa,n u a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a Z a k a w a,Z a k n u w
98,Werekena-Chacon-2019-220-81_fly-1,,Werekena,Chacon-2019-220-81_fly,numita,numita,n u m i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u m i t a,a i m n t u
99,Kumadene2-Chacon-2019-220-81_fly-1,,Kumadene2,Chacon-2019-220-81_fly,ɽiawʐakao,ɽiawʐakao,ɽ i a w ʐ a k a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i a w Z a k a o,Z a i k o r w
100,Moliwene-Chacon-2019-220-81_fly-1,,Moliwene,Chacon-2019-220-81_fly,ɽiaʐakawa,ɽiaʐakawa,ɽ i a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i a Z a k a w a,Z a i k r w
101,Hohoodene-Chacon-2019-220-81_fly-1,,Hohoodene,Chacon-2019-220-81_fly,waːlakawa,waːlakawa,w aː l a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w a l a k a w a,a k l w
102,Kowaidakenai-Chacon-2019-220-81_fly-1,,Kowaidakenai,Chacon-2019-220-81_fly,wiaka,wiaka,w i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w i a k a,a i k w
103,Aha-Chacon-2019-220-81_fly-1,,Aha,Chacon-2019-220-81_fly,jaːraketi,jaːraketi,j aː ɾ a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a r a k e t i,a e i k r t y
104,Oho-Chacon-2019-220-81_fly-1,,Oho,Chacon-2019-220-81_fly,jarakape,jarakape,j a ɾ a k a p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a r a k a p e,a e k p r y
105,Hohoodene-Chacon-2019-220-203_there-1,,Hohoodene,Chacon-2019-220-203_there,aːtahã,aːtahã,aː t a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a t a h a*,a a* h t
106,Kumadene2-Chacon-2019-220-203_there-1,,Kumadene2,Chacon-2019-220-203_there,aːteahi,aːteahi,aː t e a h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a t e a h i,a e h i t
107,Ehe-Chacon-2019-220-203_there-1,,Ehe,Chacon-2019-220-203_there,aːthe,aːthe,aː tʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a th~ e,a e th~
108,Waliperi-Chacon-2019-220-203_there-1,,Waliperi,Chacon-2019-220-203_there,adisiɐnahɐ̃,adisiɐnahɐ̃,a d i s i ɐ n a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a d i s i a n a h a*,a a* d h i n s
109,Aha-Chacon-2019-220-203_there-1,,Aha,Chacon-2019-220-203_there,ahareka,ahareka,a h a ɾ e k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a h a r e k a,a e h k r
110,Mauliene-Chacon-2019-220-203_there-1,,Mauliene,Chacon-2019-220-203_there,anahã,anahã,a n a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a n a h a*,a a* h n
111,Moliwene-Chacon-2019-220-203_there-1,,Moliwene,Chacon-2019-220-203_there,atahɐ̃,atahɐ̃,a t a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a t a h a*,a a* h t
112,Name-Chacon-2019-220-203_there-1,,Name,Chacon-2019-220-203_there,ajakathe,ajakathe,a j a k a tʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a y a k a th~ e,a e k th~ y
113,Tariana-Chacon-2019-220-203_there-1,,Tariana,Chacon-2019-220-203_there,hanɛsɛ̃m̥adenawa,hanɛsɛ̃m̥adenawa,h a n ɛ s ɛ̃ mʰ a d e n a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,h a n E s E* mh~ a d e n a w a,E E* a d e h mh~ n s w
114,Werekena-Chacon-2019-220-203_there-1,,Werekena,Chacon-2019-220-203_there,witahɐ̃,witahɐ̃,w i t a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w i t a h a*,a a* h i t w
115,Oho-Chacon-2019-220-203_there-1,,Oho,Chacon-2019-220-203_there,jakaːle,jakaːle,j a k aː l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y a k a l e,a e k l y
116,Kumadene2-Chacon-2019-220-130_man-1,,Kumadene2,Chacon-2019-220-130_man,aːtia,aːtia,aː t i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a t i a,a i t
117,Aha-Chacon-2019-220-130_man-1,,Aha,Chacon-2019-220-130_man,aːtsia,aːtsia,aː ts i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a ts i a,a i ts
118,Name-Chacon-2019-220-130_man-1,,Name,Chacon-2019-220-130_man,aːtsia,aːtsia,aː ts i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a ts i a,a i ts
119,Oho-Chacon-2019-220-130_man-1,,Oho,Chacon-2019-220-130_man,aːtsia,aːtsia,aː ts i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a ts i a,a i ts
120,Ehe-Chacon-2019-220-130_man-1,,Ehe,Chacon-2019-220-130_man,atsinali,atsinali,a ts i n a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a ts i n a l i,a i l n ts
121,Waliperi-Chacon-2019-220-130_man-1,,Waliperi,Chacon-2019-220-130_man,atʃiã.ɽi,atʃiã.ɽi,a tʃ i ã ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a tS i a* r i,a a* i r tS
